id,name,host_id,host_name,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,number_of_reviews,review_scores_rating
997869802134005661,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,10248444,Recr,False,91,True,River Valley,Private room,4,1,191.0,2.0,365.0,True,1,4.0
997869814172896216,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,10248444,Recr,False,91,True,River Valley,Entire home/apt,3,1,220.0,2.0,365.0,True,0,NaN
997869826723548282,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,10248444,Recr,False,91,True,River Valley,Entire home/apt,3,1,198.0,2.0,365.0,True,0,NaN
997869840138836965,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,10248444,Recr,False,91,True,River Valley,Entire home/apt,3,1,318.0,2.0,365.0,True,0,NaN
997876355684163433,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,46685310,Yyin,False,59,True,River Valley,Entire home/apt,2,1,188.0,2.0,1125.0,True,0,NaN
997876418196525618,Rental unit in Singapore · 1 bedroom · 2 beds · 1 bath,46685310,Yyin,False,59,True,River Valley,Entire home/apt,5,2,370.0,2.0,1125.0,True,1,5.0
997876470544385472,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,46685310,Yyin,False,59,True,River Valley,Entire home/apt,3,1,209.0,2.0,1125.0,True,0,NaN
997876526509776746,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,46685310,Yyin,False,59,True,River Valley,Entire home/apt,3,1,212.0,2.0,1125.0,True,0,NaN
998126928002893657,Rental unit in Singapore · 2 bedrooms · 2 beds · 2 baths,109333133,Pat,False,83,True,River Valley,Entire home/apt,5,2,320.0,2.0,365.0,True,1,5.0
998217592295049007,Serviced apartment in Singapore · 1 bedroom · 1 bed · 1 shared bath,181666720,Isabelle,False,11,True,Downtown Core,Private room,2,1,280.0,92.0,435.5,True,0,NaN
998239661830045669,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,535251741,Planet,False,6,True,Bishan,Private room,2,1,44.0,182.0,1125.0,True,0,NaN
998312291281514979,Serviced apartment in Singapore · 1 bedroom · 1 bed · 1 shared bath,181666720,Isabelle,False,11,True,Downtown Core,Private room,2,1,400.0,92.0,365.0,True,0,NaN
998957834404015555,Rental unit in Singapore · 3 bedrooms · 5 beds · 2 baths,300765938,Xacco,False,127,True,Queenstown,Entire home/apt,6,5,400.0,90.0,365.0,True,0,NaN
999056201071274306,Rental unit in Singapore · ★New · 2 bedrooms · 3 beds · 2 baths,29574073,DoDo,False,2,True,Hougang,Entire home/apt,4,3,300.0,92.0,365.0,True,0,NaN
999170402526501329,Condo in Singapore · 2 bedrooms · 2 beds · 2 baths,37442787,Rebecca,False,4,True,Geylang,Entire home/apt,4,2,200.0,92.0,365.0,True,0,NaN
999267343280296784,Rental unit in Singapore · 1 bedroom · 2 beds · 1 bath,61619807,Ong,False,72,True,River Valley,Entire home/apt,5,2,313.0,2.0,365.0,True,0,NaN
999267360649000739,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,61619807,Ong,False,72,True,River Valley,Entire home/apt,5,1,290.0,2.0,365.0,True,0,NaN
999267377226842863,Rental unit in Singapore · 2 bedrooms · 2 beds · 2 baths,61619807,Ong,False,72,True,River Valley,Entire home/apt,6,2,459.0,2.0,365.0,True,0,NaN
999267391650808320,Rental unit in Singapore · 1 bedroom · 2 beds · 1 bath,61619807,Ong,False,72,True,River Valley,Entire home/apt,5,2,243.0,2.0,365.0,True,1,5.0
999267804611326098,Rental unit in Singapore · 1 bedroom · 2 beds · 1 bath,10248444,Recr,False,91,True,River Valley,Entire home/apt,5,2,425.0,2.0,365.0,True,0,NaN
999617297579229253,Home in Singapore · 3 bedrooms · 3 beds · 3 baths,455736437,Bob,False,17,True,Rochor,Private room,8,3,342.0,2.0,365.0,True,0,NaN
999758275789912599,Serviced apartment in Singapore · 2 bedrooms · 2 beds · 2 baths,181666720,Isabelle,False,11,True,Downtown Core,Private room,4,2,440.0,92.0,365.0,True,0,NaN
999764011124437592,Serviced apartment in Singapore · 3 bedrooms · 3 beds · 2 baths,181666720,Isabelle,False,11,True,Downtown Core,Private room,6,3,600.0,92.0,365.8,True,0,NaN
999810975133406917,Rental unit in Singapore · 2 bedrooms · 3 beds · 2 baths,158218013,Eric,False,5,True,Outram,Entire home/apt,6,3,472.0,1.0,365.0,True,0,NaN
999878464353933823,Rental unit in Singapore · 2 bedrooms · 2 beds · 2 baths,466330896,Blueground,False,96,True,Bukit Merah,Entire home/apt,4,2,208.0,351.1,1125.0,True,0,NaN
1000230070096894528,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,32385288,Rebecca,False,2,True,Tanglin,Private room,2,1,300.0,1.0,30.0,True,0,NaN
1000337571146436983,Rental unit in Singapore · ★New · 2 bedrooms · 2 beds · 1.5 baths,38524239,Lawrence,False,1,True,River Valley,Entire home/apt,4,2,236.0,92.0,1125.0,True,0,NaN
1000378112461970771,Condo in Singapore · ★New · 1 bedroom · 1 bed · 1 shared bath,11135246,Karen,False,3,True,Ang Mo Kio,Private room,1,1,76.0,7.0,365.0,True,1,3.0
1001704940131218226,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,121666882,W.J,False,4,True,Downtown Core,Private room,1,1,64.0,92.0,365.0,True,0,NaN
1001808164427189759,Rental unit in Singapore · 2 bedrooms · 2 beds · 1 bath,121666882,W.J,False,4,True,Novena,Entire home/apt,3,2,135.0,92.0,365.0,True,0,NaN
1001917542424425372,Hotel in Singapore · ★4.13 · 1 bedroom · 1 bed · 1 bath,481728556,Sisi,False,7,True,Kallang,Private room,2,1,145.0,1.0,365.0,True,8,4.13
1002085290000177578,Rental unit in Singapore · 1 bedroom · 2 beds · 1 bath,109333133,Pat,False,83,True,River Valley,Entire home/apt,5,2,301.0,2.0,365.0,True,0,NaN
1002310112613562757,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,455736437,Bob,False,17,True,Rochor,Private room,3,1,150.0,2.0,365.0,True,0,NaN
1002522558108290493,Hotel in Singapore · 1 bedroom · 1 bed · 1 bath,481728556,Sisi,False,7,True,Kallang,Private room,2,1,147.0,1.0,365.0,True,2,3.0
1002529015184724967,Hotel in Singapore · 1 bedroom · 1 bed · 1 bath,481728556,Sisi,False,7,True,Kallang,Private room,2,1,151.0,1.0,365.0,True,0,NaN
1002532702590746461,Hotel in Singapore · 1 bedroom · 1 bed · 1 bath,481728556,Sisi,False,7,True,Kallang,Private room,3,1,191.0,1.0,365.0,True,2,4.0
1002539983939016198,Hotel in Singapore · 1 bedroom · 1 bed · 1 bath,481728556,Sisi,False,7,True,Kallang,Private room,2,1,165.0,1.0,365.0,True,0,NaN
1002543756462993273,Hotel in Singapore · 1 bedroom · 1 bed · 1 bath,481728556,Sisi,False,7,True,Kallang,Private room,2,1,172.0,1.0,365.0,True,0,NaN
1002551503540826159,Hotel in Singapore · ★4.50 · 2 bedrooms · 3 beds · 2 baths,481728556,Sisi,False,7,True,Kallang,Private room,4,3,298.0,1.0,365.0,True,4,4.5
1002771097775550553,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,10248444,Recr,False,91,True,River Valley,Entire home/apt,5,1,265.0,2.0,365.0,True,0,NaN
1003657425899222747,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,109333133,Pat,False,83,True,River Valley,Private room,2,1,150.0,2.0,365.0,True,1,3.0
1003657826580671346,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,109333133,Pat,False,83,True,River Valley,Private room,3,1,195.0,2.0,365.0,True,0,NaN
1003660596118130489,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,109333133,Pat,False,83,True,River Valley,Private room,2,1,210.0,2.0,365.0,True,2,5.0
1003661243087958309,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,10248444,Recr,False,91,True,River Valley,Entire home/apt,3,1,243.0,2.0,365.0,True,0,NaN
